NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;VERKEERSKUNDIGWEGVAKVILD;TRAJECTVILD;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
3925136;2024-01-29;2024-01-29;16:37:30;17:11:18;86,483;2559,000;33,800;134,4;131,8;A;59;A59;oplopend;'s-Hertogenbosch-Maaspoort - Empel;Knooppunt Zonzeel - 's-Hertogenbosch;Ongeval op aansluitende weg;[Geen oorzaakcode opgegeven door VWM 3], [Ongeval op aansluitende weg 22], [Eerder ongeval op aansluitende weg 9];[000], [N65], [M14];N65;Ongeval op aansluitende weg;Ongeval elders;Ongeval;Ongeval
3925137;2024-01-29;2024-01-29;16:37:30;16:41:00;10,150;2900,000;3,500;39,6;42,5;N;35;N35;aflopend;Wierden-West - Rijssen;Almelo - Zwolle;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925138;2024-01-29;2024-01-29;16:38:30;16:41:00;5,170;2068,000;2,500;173,6;171,6;A;2;A2;oplopend;Leenderheide/Randweg N2 - Valkenswaard;Eindhoven - Maastricht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925139;2024-01-29;2024-01-29;16:38:30;16:40:02;3,067;2000,000;1,533;14,9;16,9;A;58;A58;aflopend;Oirschot - Best;Tilburg - Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925225;2024-01-29;2024-01-29;17:00:32;17:03:00;9,183;3723,000;2,467;49,2;53,0;A;27;A27;aflopend;Lexmond - Noordeloos;Utrecht - Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925226;2024-01-29;2024-01-29;17:00:32;17:02:00;2,933;2000,000;1,467;4,5;2,5;N;65;N65;oplopend;Vught - A65: Vught;'s-Hertogenbosch - Vught;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925227;2024-01-29;2024-01-29;17:00:32;17:02:00;2,200;1500,000;1,467;169,9;168,4;N;2;N2;oplopend;Waalre - Leenderheide;Batadorp - Leenderheide;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925228;2024-01-29;2024-01-29;17:01:31;17:04:00;6,363;2562,000;2,483;93,0;95,8;A;15;A15;aflopend;Gorinchem - Hardinxveld-Giessendam;Gorinchem - Ridderkerk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925229;2024-01-29;2024-01-29;17:01:31;17:03:00;3,263;2200,000;1,483;43,7;41,5;A;20;A20;oplopend;Nieuwerkerk aan den IJssel - Moordrecht;Hoek van Holland - Gouda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925315;2024-01-29;2024-01-29;17:29:30;17:31:01;3,943;2600,000;1,517;111,2;113,8;A;2;A2;aflopend;Empel - Maasbrug;'s-Hertogenbosch - Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925316;2024-01-29;2024-01-29;17:29:30;17:31:01;4,247;2800,000;1,517;115,9;113,1;A;50;A50;oplopend;Veghel - Veghel-Noord;Eindhoven - Oss;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925317;2024-01-29;2024-01-29;17:29:30;17:31:01;3,488;2300,000;1,517;97,4;95,1;A;58;A58;oplopend;De Stok - Wouwse Plantage;Breda - Bergen op Zoom;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925318;2024-01-29;2024-01-29;17:29:30;17:32:00;9,750;3900,000;2,500;126,0;122,1;A;59;A59;oplopend;Nieuwkuijk - Vlijmen;Knooppunt Zonzeel - 's-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925320;2024-01-29;2024-01-29;17:30:32;17:37:00;17,738;2743,000;6,467;102,4;104,7;A;2;A2;aflopend;Zaltbommel - Martinus Nijhoffbrug;'s-Hertogenbosch - Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925408;2024-01-29;2024-01-29;17:48:31;17:52:00;10,012;2874,000;3,483;39,6;42,5;N;35;N35;aflopend;Wierden-West - Rijssen;Almelo - Zwolle;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925409;2024-01-29;2024-01-29;17:48:31;17:51:00;5,628;2266,000;2,483;9,0;6,7;N;65;N65;oplopend;Cromvoirt/Vught-Zuid - Helvoirt/Haren;Vught - Oisterwijk;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
